30 3 15 19 21 30 31 35 40 44 45 47 45 43 46 47 52 57 53 53 56 49 49 45 41 43 49 47 53 58 60
32 1 10 12 11 10 12 15 17 24 27 25 25 27 33 25 24 20 18 21 20 17 20 24 23 18 22 21 21 22 21
34 0 6 5 8 6 3 3 7 1 5 9 17 19 17 12 10 6 8 4 5 6 5 6 8 7 5 8 6 7 4
36 0 5 8 12 11 3 3 3 4 9 9 8 8 6 2 0 0 0 1 1 3 3 1 2 2 3 1 1 2 0
38 0 2 0 0 1 0 3 1 4 4 4 5 0 2 0 0 0 0 1 1 2 0 0 0 0 1 0 0 0 0
